IdNumber,Name,Province,EstablishedDate,ClosingDate,PageError,ParsingError
1,Glen Eagle,Quebec,1938-05-23T00:00:00Z,1943-09-30T00:00:00Z,,
2,La Guadeloupe,Quebec,1896-08-01T00:00:00Z,,,
3,Glen Gordon,Quebec,1893-04-01T00:00:00Z,1903-03-31T00:00:00Z,,
4,Glengyle,Quebec,1887-12-01T00:00:00Z,,,
5,Glen Iver,Quebec,1885-04-01T00:00:00Z,,,
6,Chute Léon,Quebec,1909-01-01T00:00:00Z,,,
7,Chute Nairn,Quebec,1912-08-01T00:00:00Z,,,
8,Chûte Panet,Quebec,1908-02-08T00:00:00Z,,,
9,Glen Lloyd,Quebec,1856-02-01T00:00:00Z,1916-09-20T00:00:00Z,,
10,Glen Murray,Quebec,1870-04-01T00:00:00Z,1916-09-25T00:00:00Z,,
11,Côte St. Paul,Quebec,1860-06-01T00:00:00Z,,,
12,Côte Ste. Thérèse,Quebec,1903-05-01T00:00:00Z,1914-11-21T00:00:00Z,,
13,Côte St. Vincent,Quebec,1896-12-01T00:00:00Z,1927-12-10T00:00:00Z,,
14,Côte's Mills,Quebec,1895-02-01T00:00:00Z,1923-04-30T00:00:00Z,,
15,Couillard,Quebec,1924-07-26T00:00:00Z,1930-02-20T00:00:00Z,,
16,Coulombe,Quebec,1949-10-15T00:00:00Z,1953-05-21T00:00:00Z,,
17,Courcelette,Quebec,1917-05-01T00:00:00Z,1936-11-07T00:00:00Z,,
18,Grande Vallée des Monts,Quebec,1946-03-02T00:00:00Z,1954-02-13T00:00:00Z,,
19,Grand Fonds,Quebec,1894-07-01T00:00:00Z,1959-06-30T00:00:00Z,,
20,Grand Mère,Quebec,1888-02-01T00:00:00Z,,,
21,Lacoste,Quebec,1921-10-01T00:00:00Z,1969-04-28T00:00:00Z,,
22,Lac Levert,Quebec,1908-09-01T00:00:00Z,,,
23,Lac-Ouareau (summer office),Quebec,1955-06-30T00:00:00Z,1966-09-03T00:00:00Z,,
24,Cap St. Michel,Quebec,1879-06-01T00:00:00Z,1883-04-30T00:00:00Z,,
25,Lac Ouareau,Quebec,1884-10-01T00:00:00Z,1887-01-01T00:00:00Z,,
26,LaCoulée,Quebec,1937-01-26T00:00:00Z,1947-04-30T00:00:00Z,,
27,Fafard,Quebec,1869-06-01T00:00:00Z,1880-06-30T00:00:00Z,,
28,Fafard,Quebec,1914-04-01T00:00:00Z,,,
29,Fafard,Quebec,1929-04-01T00:00:00Z,1932-10-31T00:00:00Z,,
30,Fairfax,Quebec,1887-02-01T00:00:00Z,1913-04-30T00:00:00Z,,
